t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
4.098,0,0,0,0,0,0,0,0,0,0,0,0,0
4.099,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
4.101,0,0,0,0,0,0,0,0,0,0,0,0,0
4.102,0,0,0,0,0,0,0,0,0,0,0,0,0
4.103,0,0,0,0,0,0,0,0,0,0,0,0,0
4.104,0,0,0,0,0,0,0,0,0,0,0,0,0
4.105,0,0,0,0,0,0,0,0,0,0,0,0,0
4.106,0,0,0,0,0,0,0,0,0,0,0,0,0
4.107,0,0,0,0,0,0,0,0,0,0,0,0,0
4.108,0,0,0,0,0,0,0,0,0,0,0,0,0
4.109,0,0,0,0,0,0,0,0,0,0,0,0,0
4.11,0,0,0,0,0,0,0,0,0,0,0,0,0
4.111,0,0,0,0,0,0,0,0,0,0,0,0,0
4.112,0,0,0,0,0,0,0,0,0,0,0,0,0
4.113,0,0,0,0,0,0,0,0,0,0,0,0,0
4.114,0,0,0,0,0,0,0,0,0,0,0,0,0
4.115,0,0,0,0,0,0,0,0,0,0,0,0,0
4.116,0,0,0,0,0,0,0,0,0,0,0,0,0
4.117,0,0,0,0,0,0,0,0,0,0,0,0,0
4.118,0,0,0,0,0,0,0,0,0,0,0,0,0
4.119,0,0,0,0,0,0,0,0,0,0,0,0,0
4.12,0,0,0,0,0,0,0,0,0,0,0,0,0
4.121,0,0,0,0,0,0,0,0,0,0,0,0,0
4.122,0,0,0,0,0,0,0,0,0,0,0,0,0
4.123,0,0,0,0,0,0,0,0,0,0,0,0,0
4.124,0,0,0,0,0,0,0,0,0,0,0,0,0
4.125,0,0,0,0,0,0,0,0,0,0,0,0,0
4.126,0,0,0,0,0,0,0,0,0,0,0,0,0
4.127,0,0,0,0,0,0,0,0,0,0,0,0,0
4.128,0,0,0,0,0,0,0,0,0,0,0,0,0
4.129,0,0,0,0,0,0,0,0,0,0,0,0,0
4.13,0,0,0,0,0,0,0,0,0,0,0,0,0
4.131,0,0,0,0,0,0,0,0,0,0,0,0,0
4.132,0,0,0,0,0,0,0,0,0,0,0,0,0
4.133,0,0,0,0,0,0,0,0,0,0,0,0,0
4.134,0,0,0,0,0,0,0,0,0,0,0,0,0
4.135,0,0,0,0,0,0,0,0,0,0,0,0,0
4.136,0,0,0,0,0,0,0,0,0,0,0,0,0
4.137,0,0,0,0,0,0,0,0,0,0,0,0,0
4.138,0,0,0,0,0,0,0,0,0,0,0,0,0
4.139,0,0,0,0,0,0,0,0,0,0,0,0,0
4.14,0,0,0,0,0,0,0,0,0,0,0,0,0
4.141,0,0,0,0,0,0,0,0,0,0,0,0,0
4.142,0,0,0,0,0,0,0,0,0,0,0,0,0
4.143,0,0,0,0,0,0,0,0,0,0,0,0,0
4.144,0,0,0,0,0,0,0,0,0,0,0,0,0
4.145,0,0,0,0,0,0,0,0,0,0,0,0,0
4.146,0,0,0,0,0,0,0,0,0,0,0,0,0
4.147,0,0,0,0,0,0,0,0,0,0,0,0,0
4.148,0,0,0,0,0,0,0,0,0,0,0,0,0
4.149,0,0,0,0,0,0,0,0,0,0,0,0,0
4.15,0,0,0,0,0,0,0,0,0,0,0,0,0
4.151,0,0,0,0,0,0,0,0,0,0,0,0,0
4.152,0,0,0,0,0,0,0,0,0,0,0,0,0
4.153,0,0,0,0,0,0,0,0,0,0,0,0,0
4.154,0,0,0,0,0,0,0,0,0,0,0,0,0
4.155,0,0,0,0,0,0,0,0,0,0,0,0,0
4.156,0,0,0,0,0,0,0,0,0,0,0,0,0
4.157,0,0,0,0,0,0,0,0,0,0,0,0,0
4.158,0,0,0,0,0,0,0,0,0,0,0,0,0
4.159,0,0,0,0,0,0,0,0,0,0,0,0,0
4.16,0,0,0,0,0,0,0,0,0,0,0,0,0
4.161,0,0,0,0,0,0,0,0,0,0,0,0,0
4.162,0,0,0,0,0,0,0,0,0,0,0,0,0
4.163,0,0,0,0,0,0,0,0,0,0,0,0,0
4.164,0,0,0,0,0,0,0,0,0,0,0,0,0
4.165,0,0,0,0,0,0,0,0,0,0,0,0,0
4.166,0,0,0,0,0,0,0,0,0,0,0,0,0
4.167,0,0,0,0,0,0,0,0,0,0,0,0,0
4.168,0,0,0,0,0,0,0,0,0,0,0,0,0
4.169,0,0,0,0,0,0,0,0,0,0,0,0,0
4.17,0,0,0,0,0,0,0,0,0,0,0,0,0
4.171,0,0,0,0,0,0,0,0,0,0,0,0,0
4.172,0,0,0,0,0,0,0,0,0,0,0,0,0
4.173,0,0,0,0,0,0,0,0,0,0,0,0,0
4.174,0,0,0,0,0,0,0,0,0,0,0,0,0
4.175,0,0,0,0,0,0,0,0,0,0,0,0,0
4.176,0,0,0,0,0,0,0,0,0,0,0,0,0
4.177,0,0,0,0,0,0,0,0,0,0,0,0,0
4.178,0,0,0,0,0,0,0,0,0,0,0,0,0
4.179,0,0,0,0,0,0,0,0,0,0,0,0,0
4.18,0,0,0,0,0,0,0,0,0,0,0,0,0
4.181,0,0,0,0,0,0,0,0,0,0,0,0,0
4.182,0,0,0,0,0,0,0,0,0,0,0,0,0
4.183,0,0,0,0,0,0,0,0,0,0,0,0,0
4.184,0,0,0,0,0,0,0,0,0,0,0,0,0
4.185,0,0,0,0,0,0,0,0,0,0,0,0,0
4.186,0,0,0,0,0,0,0,0,0,0,0,0,0
4.187,0,0,0,0,0,0,0,0,0,0,0,0,0
4.188,0,0,0,0,0,0,0,0,0,0,0,0,0
4.189,0,0,0,0,0,0,0,0,0,0,0,0,0
4.19,0,0,0,0,0,0,0,0,0,0,0,0,0
4.191,0,0,0,0,0,0,0,0,0,0,0,0,0
4.192,0,0,0,0,0,0,0,0,0,0,0,0,0
4.193,0,0,0,0,0,0,0,0,0,0,0,0,0
4.194,0,0,0,0,0,0,0,0,0,0,0,0,0
4.195,0,0,0,0,0,0,0,0,0,0,0,0,0
4.196,0,0,0,0,0,0,0,0,0,0,0,0,0
4.197,0,0,0,0,0,0,0,0,0,0,0,0,0
4.198,0,0,0,0,0,0,0,0,0,0,0,0,0
4.199,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0,0,0,0,0
4.201,0,0,0,0,0,0,0,0,0,0,0,0,0
4.202,0,0,0,0,0,0,0,0,0,0,0,0,0
4.203,0,0,0,0,0,0,0,0,0,0,0,0,0
4.204,0,0,0,0,0,0,0,0,0,0,0,0,0
4.205,0,0,0,0,0,0,0,0,0,0,0,0,0
4.206,0,0,0,0,0,0,0,0,0,0,0,0,0
4.207,0,0,0,0,0,0,0,0,0,0,0,0,0
4.208,0,0,0,0,0,0,0,0,0,0,0,0,0
4.209,0,0,0,0,0,0,0,0,0,0,0,0,0
4.21,0,0,0,0,0,0,0,0,0,0,0,0,0
4.211,0,0,0,0,0,0,0,0,0,0,0,0,0
4.212,0,0,0,0,0,0,0,0,0,0,0,0,0
4.213,0,0,0,0,0,0,0,0,0,0,0,0,0
4.214,0,0,0,0,0,0,0,0,0,0,0,0,0
4.215,0,0,0,0,0,0,0,0,0,0,0,0,0
4.216,0,0,0,0,0,0,0,0,0,0,0,0,0
4.217,0,0,0,0,0,0,0,0,0,0,0,0,0
4.218,0,0,0,0,0,0,0,0,0,0,0,0,0
4.219,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,0,0,0,0,0,0,0,0,0,0,0,0,0
4.221,0,0,0,0,0,0,0,0,0,0,0,0,0
4.222,0,0,0,0,0,0,0,0,0,0,0,0,0
4.223,0,0,0,0,0,0,0,0,0,0,0,0,0
4.224,0,0,0,0,0,0,0,0,0,0,0,0,0
4.225,0,0,0,0,0,0,0,0,0,0,0,0,0
4.226,0,0,0,0,0,0,0,0,0,0,0,0,0
4.227,0,0,0,0,0,0,0,0,0,0,0,0,0
4.228,0,0,0,0,0,0,0,0,0,0,0,0,0
4.229,0,0,0,0,0,0,0,0,0,0,0,0,0
4.23,0,0,0,0,0,0,0,0,0,0,0,0,0
4.231,0,0,0,0,0,0,0,0,0,0,0,0,0
4.232,0,0,0,0,0,0,0,0,0,0,0,0,0
4.233,0,0,0,0,0,0,0,0,0,0,0,0,0
4.234,0,0,0,0,0,0,0,0,0,0,0,0,0
4.235,0,0,0,0,0,0,0,0,0,0,0,0,0
4.236,0,0,0,0,0,0,0,0,0,0,0,0,0
4.237,0,0,0,0,0,0,0,0,0,0,0,0,0
4.238,0,0,0,0,0,0,0,0,0,0,0,0,0
4.239,0,0,0,0,0,0,0,0,0,0,0,0,0
4.24,0,0,0,0,0,0,0,0,0,0,0,0,0
4.241,0,0,0,0,0,0,0,0,0,0,0,0,0
4.242,0,0,0,0,0,0,0,0,0,0,0,0,0
4.243,0,0,0,0,0,0,0,0,0,0,0,0,0
4.244,0,0,0,0,0,0,0,0,0,0,0,0,0
4.245,0,0,0,0,0,0,0,0,0,0,0,0,0
4.246,0,0,0,0,0,0,0,0,0,0,0,0,0
4.247,0,0,0,0,0,0,0,0,0,0,0,0,0
4.248,0,0,0,0,0,0,0,0,0,0,0,0,0
4.249,0,0,0,0,0,0,0,0,0,0,0,0,0
4.25,0,0,0,0,0,0,0,0,0,0,0,0,0
4.251,0,0,0,0,0,0,0,0,0,0,0,0,0
4.252,0,0,0,0,0,0,0,0,0,0,0,0,0
4.253,0,0,0,0,0,0,0,0,0,0,0,0,0
4.254,0,0,0,0,0,0,0,0,0,0,0,0,0
4.255,0,0,0,0,0,0,0,0,0,0,0,0,0
4.256,0,0,0,0,0,0,0,0,0,0,0,0,0
4.257,0,0,0,0,0,0,0,0,0,0,0,0,0
4.258,0,0,0,0,0,0,0,0,0,0,0,0,0
4.259,0,0,0,0,0,0,0,0,0,0,0,0,0
4.26,0,0,0,0,0,0,0,0,0,0,0,0,0
4.261,0,0,0,0,0,0,0,0,0,0,0,0,0
4.262,0,0,0,0,0,0,0,0,0,0,0,0,0
4.263,0,0,0,0,0,0,0,0,0,0,0,0,0
4.264,0,0,0,0,0,0,0,0,0,0,0,0,0
4.265,0,0,0,0,0,0,0,0,0,0,0,0,0
4.266,0,0,0,0,0,0,0,0,0,0,0,0,0
4.267,0,0,0,0,0,0,0,0,0,0,0,0,0
4.268,0,0,0,0,0,0,0,0,0,0,0,0,0
4.269,0,0,0,0,0,0,0,0,0,0,0,0,0
4.27,0,0,0,0,0,0,0,0,0,0,0,0,0
4.271,0,0,0,0,0,0,0,0,0,0,0,0,0
4.272,0,0,0,0,0,0,0,0,0,0,0,0,0
4.273,0,0,0,0,0,0,0,0,0,0,0,0,0
4.274,0,0,0,0,0,0,0,0,0,0,0,0,0
4.275,0,0,0,0,0,0,0,0,0,0,0,0,0
4.276,0,0,0,0,0,0,0,0,0,0,0,0,0
4.277,0,0,0,0,0,0,0,0,0,0,0,0,0
4.278,0,0,0,0,0,0,0,0,0,0,0,0,0
4.279,0,0,0,0,0,0,0,0,0,0,0,0,0
4.28,0,0,0,0,0,0,0,0,0,0,0,0,0
4.281,0,0,0,0,0,0,0,0,0,0,0,0,0
4.282,0,0,0,0,0,0,0,0,0,0,0,0,0
4.283,0,0,0,0,0,0,0,0,0,0,0,0,0
4.284,0,0,0,0,0,0,0,0,0,0,0,0,0
4.285,0,0,0,0,0,0,0,0,0,0,0,0,0
4.286,0,0,0,0,0,0,0,0,0,0,0,0,0
4.287,0,0,0,0,0,0,0,0,0,0,0,0,0
4.288,0,0,0,0,0,0,0,0,0,0,0,0,0
4.289,0,0,0,0,0,0,0,0,0,0,0,0,0
4.29,0,0,0,0,0,0,0,0,0,0,0,0,0
4.291,0,0,0,0,0,0,0,0,0,0,0,0,0
4.292,0,0,0,0,0,0,0,0,0,0,0,0,0
4.293,0,0,0,0,0,0,0,0,0,0,0,0,0
4.294,0,0,0,0,0,0,0,0,0,0,0,0,0
4.295,0,0,0,0,0,0,0,0,0,0,0,0,0
4.296,0,0,0,0,0,0,0,0,0,0,0,0,0
4.297,0,0,0,0,0,0,0,0,0,0,0,0,0
4.298,0,0,0,0,0,0,0,0,0,0,0,0,0
4.299,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0,0,0,0,0
4.301,0,0,0,0,0,0,0,0,0,0,0,0,0
4.302,0,0,0,0,0,0,0,0,0,0,0,0,0
4.303,0,0,0,0,0,0,0,0,0,0,0,0,0
4.304,0,0,0,0,0,0,0,0,0,0,0,0,0
4.305,0,0,0,0,0,0,0,0,0,0,0,0,0
4.306,0,0,0,0,0,0,0,0,0,0,0,0,0
4.307,0,0,0,0,0,0,0,0,0,0,0,0,0
4.308,0,0,0,0,0,0,0,0,0,0,0,0,0
4.309,0,0,0,0,0,0,0,0,0,0,0,0,0
4.31,0,0,0,0,0,0,0,0,0,0,0,0,0
4.311,0,0,0,0,0,0,0,0,0,0,0,0,0
4.312,0,0,0,0,0,0,0,0,0,0,0,0,0
4.313,0,0,0,0,0,0,0,0,0,0,0,0,0
4.314,0,0,0,0,0,0,0,0,0,0,0,0,0
4.315,0,0,0,0,0,0,0,0,0,0,0,0,0
4.316,0,0,0,0,0,0,0,0,0,0,0,0,0
4.317,0,0,0,0,0,0,0,0,0,0,0,0,0
4.318,0,0,0,0,0,0,0,0,0,0,0,0,0
4.319,0,0,0,0,0,0,0,0,0,0,0,0,0
4.32,0,0,0,0,0,0,0,0,0,0,0,0,0
4.321,0,0,0,0,0,0,0,0,0,0,0,0,0
4.322,0,0,0,0,0,0,0,0,0,0,0,0,0
4.323,0,0,0,0,0,0,0,0,0,0,0,0,0
4.324,0,0,0,0,0,0,0,0,0,0,0,0,0
4.325,0,0,0,0,0,0,0,0,0,0,0,0,0
4.326,0,0,0,0,0,0,0,0,0,0,0,0,0
4.327,0,0,0,0,0,0,0,0,0,0,0,0,0
4.328,0,0,0,0,0,0,0,0,0,0,0,0,0
4.329,0,0,0,0,0,0,0,0,0,0,0,0,0
4.33,0,0,0,0,0,0,0,0,0,0,0,0,0
4.331,0,0,0,0,0,0,0,0,0,0,0,0,0
4.332,0,0,0,0,0,0,0,0,0,0,0,0,0
4.333,0,0,0,0,0,0,0,0,0,0,0,0,0
4.334,0,0,0,0,0,0,0,0,0,0,0,0,0
4.335,0,0,0,0,0,0,0,0,0,0,0,0,0
4.336,0,0,0,0,0,0,0,0,0,0,0,0,0
4.337,0,0,0,0,0,0,0,0,0,0,0,0,0
4.338,0,0,0,0,0,0,0,0,0,0,0,0,0
4.339,0,0,0,0,0,0,0,0,0,0,0,0,0
4.34,0,0,0,0,0,0,0,0,0,0,0,0,0
4.341,0,0,0,0,0,0,0,0,0,0,0,0,0
4.342,0,0,0,0,0,0,0,0,0,0,0,0,0
4.343,0,0,0,0,0,0,0,0,0,0,0,0,0
4.344,0,0,0,0,0,0,0,0,0,0,0,0,0
4.345,0,0,0,0,0,0,0,0,0,0,0,0,0
4.346,0,0,0,0,0,0,0,0,0,0,0,0,0
4.347,0,0,0,0,0,0,0,0,0,0,0,0,0
4.348,0,0,0,0,0,0,0,0,0,0,0,0,0
4.349,0,0,0,0,0,0,0,0,0,0,0,0,0
4.35,0,0,0,0,0,0,0,0,0,0,0,0,0
4.351,0,0,0,0,0,0,0,0,0,0,0,0,0
4.352,0,0,0,0,0,0,0,0,0,0,0,0,0
4.353,0,0,0,0,0,0,0,0,0,0,0,0,0
4.354,0,0,0,0,0,0,0,0,0,0,0,0,0
4.355,0,0,0,0,0,0,0,0,0,0,0,0,0
4.356,0,0,0,0,0,0,0,0,0,0,0,0,0
4.357,0,0,0,0,0,0,0,0,0,0,0,0,0
4.358,0,0,0,0,0,0,0,0,0,0,0,0,0
4.359,0,0,0,0,0,0,0,0,0,0,0,0,0
4.36,0,0,0,0,0,0,0,0,0,0,0,0,0
4.361,0,0,0,0,0,0,0,0,0,0,0,0,0
4.362,0,0,0,0,0,0,0,0,0,0,0,0,0
4.363,0,0,0,0,0,0,0,0,0,0,0,0,0
4.364,0,0,0,0,0,0,0,0,0,0,0,0,0
4.365,0,0,0,0,0,0,0,0,0,0,0,0,0
4.366,0,0,0,0,0,0,0,0,0,0,0,0,0
4.367,0,0,0,0,0,0,0,0,0,0,0,0,0
4.368,0,0,0,0,0,0,0,0,0,0,0,0,0
4.369,0,0,0,0,0,0,0,0,0,0,0,0,0
4.37,0,0,0,0,0,0,0,0,0,0,0,0,0
4.371,0,0,0,0,0,0,0,0,0,0,0,0,0
4.372,0,0,0,0,0,0,0,0,0,0,0,0,0
4.373,0,0,0,0,0,0,0,0,0,0,0,0,0
4.374,0,0,0,0,0,0,0,0,0,0,0,0,0
4.375,0,0,0,0,0,0,0,0,0,0,0,0,0
4.376,0,0,0,0,0,0,0,0,0,0,0,0,0
4.377,0,0,0,0,0,0,0,0,0,0,0,0,0
4.378,0,0,0,0,0,0,0,0,0,0,0,0,0
4.379,0,0,0,0,0,0,0,0,0,0,0,0,0
4.38,0,0,0,0,0,0,0,0,0,0,0,0,0
4.381,0,0,0,0,0,0,0,0,0,0,0,0,0
4.382,0,0,0,0,0,0,0,0,0,0,0,0,0
4.383,0,0,0,0,0,0,0,0,0,0,0,0,0
4.384,0,0,0,0,0,0,0,0,0,0,0,0,0
4.385,0,0,0,0,0,0,0,0,0,0,0,0,0
4.386,0,0,0,0,0,0,0,0,0,0,0,0,0
4.387,0,0,0,0,0,0,0,0,0,0,0,0,0
4.388,0,0,0,0,0,0,0,0,0,0,0,0,0
4.389,0,0,0,0,0,0,0,0,0,0,0,0,0
4.39,0,0,0,0,0,0,0,0,0,0,0,0,0
4.391,0,0,0,0,0,0,0,0,0,0,0,0,0
4.392,0,0,0,0,0,0,0,0,0,0,0,0,0
4.393,0,0,0,0,0,0,0,0,0,0,0,0,0
4.394,0,0,0,0,0,0,0,0,0,0,0,0,0
4.395,0,0,0,0,0,0,0,0,0,0,0,0,0
4.396,0,0,0,0,0,0,0,0,0,0,0,0,0
4.397,0,0,0,0,0,0,0,0,0,0,0,0,0
4.398,0,0,0,0,0,0,0,0,0,0,0,0,0
4.399,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4,0,0,0,0,0,0,0,0,0,0,0,0,0
4.401,0,0,0,0,0,0,0,0,0,0,0,0,0
4.402,0,0,0,0,0,0,0,0,0,0,0,0,0
4.403,0,0,0,0,0,0,0,0,0,0,0,0,0
4.404,0,0,0,0,0,0,0,0,0,0,0,0,0
4.405,0,0,0,0,0,0,0,0,0,0,0,0,0
4.406,0,0,0,0,0,0,0,0,0,0,0,0,0
4.407,0,0,0,0,0,0,0,0,0,0,0,0,0
4.408,0,0,0,0,0,0,0,0,0,0,0,0,0
4.409,0,0,0,0,0,0,0,0,0,0,0,0,0
4.41,0,0,0,0,0,0,0,0,0,0,0,0,0
4.411,0,0,0,0,0,0,0,0,0,0,0,0,0
4.412,0,0,0,0,0,0,0,0,0,0,0,0,0
4.413,0,0,0,0,0,0,0,0,0,0,0,0,0
4.414,0,0,0,0,0,0,0,0,0,0,0,0,0
4.415,0,0,0,0,0,0,0,0,0,0,0,0,0
4.416,0,0,0,0,0,0,0,0,0,0,0,0,0
4.417,0,0,0,0,0,0,0,0,0,0,0,0,0
4.418,0,0,0,0,0,0,0,0,0,0,0,0,0
4.419,0,0,0,0,0,0,0,0,0,0,0,0,0
4.42,0,0,0,0,0,0,0,0,0,0,0,0,0
4.421,0,0,0,0,0,0,0,0,0,0,0,0,0
4.422,0,0,0,0,0,0,0,0,0,0,0,0,0
4.423,0,0,0,0,0,0,0,0,0,0,0,0,0
4.424,0,0,0,0,0,0,0,0,0,0,0,0,0
4.425,0,0,0,0,0,0,0,0,0,0,0,0,0
4.426,0,0,0,0,0,0,0,0,0,0,0,0,0
4.427,0,0,0,0,0,0,0,0,0,0,0,0,0
4.428,0,0,0,0,0,0,0,0,0,0,0,0,0
4.429,0,0,0,0,0,0,0,0,0,0,0,0,0
4.43,0,0,0,0,0,0,0,0,0,0,0,0,0
4.431,0,0,0,0,0,0,0,0,0,0,0,0,0
4.432,0,0,0,0,0,0,0,0,0,0,0,0,0
4.433,0,0,0,0,0,0,0,0,0,0,0,0,0
4.434,0,0,0,0,0,0,0,0,0,0,0,0,0
4.435,0,0,0,0,0,0,0,0,0,0,0,0,0
4.436,0,0,0,0,0,0,0,0,0,0,0,0,0
4.437,0,0,0,0,0,0,0,0,0,0,0,0,0
4.438,0,0,0,0,0,0,0,0,0,0,0,0,0
4.439,0,0,0,0,0,0,0,0,0,0,0,0,0
4.44,0,0,0,0,0,0,0,0,0,0,0,0,0
4.441,0,0,0,0,0,0,0,0,0,0,0,0,0
4.442,0,0,0,0,0,0,0,0,0,0,0,0,0
4.443,0,0,0,0,0,0,0,0,0,0,0,0,0
4.444,0,0,0,0,0,0,0,0,0,0,0,0,0
4.445,0,0,0,0,0,0,0,0,0,0,0,0,0
4.446,0,0,0,0,0,0,0,0,0,0,0,0,0
4.447,0,0,0,0,0,0,0,0,0,0,0,0,0
4.448,0,0,0,0,0,0,0,0,0,0,0,0,0
4.449,0,0,0,0,0,0,0,0,0,0,0,0,0
4.45,0,0,0,0,0,0,0,0,0,0,0,0,0
4.451,0,0,0,0,0,0,0,0,0,0,0,0,0
4.452,0,0,0,0,0,0,0,0,0,0,0,0,0
4.453,0,0,0,0,0,0,0,0,0,0,0,0,0
4.454,0,0,0,0,0,0,0,0,0,0,0,0,0
4.455,0,0,0,0,0,0,0,0,0,0,0,0,0
4.456,0,0,0,0,0,0,0,0,0,0,0,0,0
4.457,0,0,0,0,0,0,0,0,0,0,0,0,0
4.458,0,0,0,0,0,0,0,0,0,0,0,0,0
4.459,0,0,0,0,0,0,0,0,0,0,0,0,0
4.46,0,0,0,0,0,0,0,0,0,0,0,0,0
4.461,0,0,0,0,0,0,0,0,0,0,0,0,0
4.462,0,0,0,0,0,0,0,0,0,0,0,0,0
4.463,0,0,0,0,0,0,0,0,0,0,0,0,0
4.464,0,0,0,0,0,0,0,0,0,0,0,0,0
4.465,0,0,0,0,0,0,0,0,0,0,0,0,0
4.466,0,0,0,0,0,0,0,0,0,0,0,0,0
4.467,0,0,0,0,0,0,0,0,0,0,0,0,0
4.468,0,0,0,0,0,0,0,0,0,0,0,0,0
4.469,0,0,0,0,0,0,0,0,0,0,0,0,0
4.47,0,0,0,0,0,0,0,0,0,0,0,0,0
4.471,0,0,0,0,0,0,0,0,0,0,0,0,0
4.472,0,0,0,0,0,0,0,0,0,0,0,0,0
4.473,0,0,0,0,0,0,0,0,0,0,0,0,0
4.474,0,0,0,0,0,0,0,0,0,0,0,0,0
4.475,0,0,0,0,0,0,0,0,0,0,0,0,0
4.476,0,0,0,0,0,0,0,0,0,0,0,0,0
4.477,0,0,0,0,0,0,0,0,0,0,0,0,0
4.478,0,0,0,0,0,0,0,0,0,0,0,0,0
4.479,0,0,0,0,0,0,0,0,0,0,0,0,0
4.48,0,0,0,0,0,0,0,0,0,0,0,0,0
4.481,0,0,0,0,0,0,0,0,0,0,0,0,0
4.482,0,0,0,0,0,0,0,0,0,0,0,0,0
4.483,0,0,0,0,0,0,0,0,0,0,0,0,0
4.484,0,0,0,0,0,0,0,0,0,0,0,0,0
4.485,0,0,0,0,0,0,0,0,0,0,0,0,0
4.486,0,0,0,0,0,0,0,0,0,0,0,0,0
4.487,0,0,0,0,0,0,0,0,0,0,0,0,0
4.488,0,0,0,0,0,0,0,0,0,0,0,0,0
4.489,0,0,0,0,0,0,0,0,0,0,0,0,0
4.49,0,0,0,0,0,0,0,0,0,0,0,0,0
4.491,0,0,0,0,0,0,0,0,0,0,0,0,0
4.492,0,0,0,0,0,0,0,0,0,0,0,0,0
4.493,0,0,0,0,0,0,0,0,0,0,0,0,0
4.494,0,0,0,0,0,0,0,0,0,0,0,0,0
4.495,0,0,0,0,0,0,0,0,0,0,0,0,0
4.496,0,0,0,0,0,0,0,0,0,0,0,0,0
4.497,0,0,0,0,0,0,0,0,0,0,0,0,0
4.498,0,0,0,0,0,0,0,0,0,0,0,0,0
4.499,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
4.501,0,0,0,0,0,0,0,0,0,0,0,0,0
4.502,0,0,0,0,0,0,0,0,0,0,0,0,0
4.503,0,0,0,0,0,0,0,0,0,0,0,0,0
4.504,0,0,0,0,0,0,0,0,0,0,0,0,0
4.505,0,0,0,0,0,0,0,0,0,0,0,0,0
4.506,0,0,0,0,0,0,0,0,0,0,0,0,0
4.507,0,0,0,0,0,0,0,0,0,0,0,0,0
4.508,0,0,0,0,0,0,0,0,0,0,0,0,0
4.509,0,0,0,0,0,0,0,0,0,0,0,0,0
4.51,0,0,0,0,0,0,0,0,0,0,0,0,0
4.511,0,0,0,0,0,0,0,0,0,0,0,0,0
4.512,0,0,0,0,0,0,0,0,0,0,0,0,0
4.513,0,0,0,0,0,0,0,0,0,0,0,0,0
4.514,0,0,0,0,0,0,0,0,0,0,0,0,0
4.515,0,0,0,0,0,0,0,0,0,0,0,0,0
4.516,0,0,0,0,0,0,0,0,0,0,0,0,0
4.517,0,0,0,0,0,0,0,0,0,0,0,0,0
4.518,0,0,0,0,0,0,0,0,0,0,0,0,0
4.519,0,0,0,0,0,0,0,0,0,0,0,0,0
4.52,0,0,0,0,0,0,0,0,0,0,0,0,0
4.521,0,0,0,0,0,0,0,0,0,0,0,0,0
4.522,0,0,0,0,0,0,0,0,0,0,0,0,0
4.523,0,0,0,0,0,0,0,0,0,0,0,0,0
4.524,0,0,0,0,0,0,0,0,0,0,0,0,0
4.525,0,0,0,0,0,0,0,0,0,0,0,0,0
4.526,0,0,0,0,0,0,0,0,0,0,0,0,0
4.527,0,0,0,0,0,0,0,0,0,0,0,0,0
4.528,0,0,0,0,0,0,0,0,0,0,0,0,0
4.529,0,0,0,0,0,0,0,0,0,0,0,0,0
4.53,0,0,0,0,0,0,0,0,0,0,0,0,0
4.531,0,0,0,0,0,0,0,0,0,0,0,0,0
4.532,0,0,0,0,0,0,0,0,0,0,0,0,0
4.533,0,0,0,0,0,0,0,0,0,0,0,0,0
4.534,0,0,0,0,0,0,0,0,0,0,0,0,0
4.535,0,0,0,0,0,0,0,0,0,0,0,0,0
4.536,0,0,0,0,0,0,0,0,0,0,0,0,0
4.537,0,0,0,0,0,0,0,0,0,0,0,0,0
4.538,0,0,0,0,0,0,0,0,0,0,0,0,0
4.539,0,0,0,0,0,0,0,0,0,0,0,0,0
4.54,0,0,0,0,0,0,0,0,0,0,0,0,0
4.541,0,0,0,0,0,0,0,0,0,0,0,0,0
4.542,0,0,0,0,0,0,0,0,0,0,0,0,0
4.543,0,0,0,0,0,0,0,0,0,0,0,0,0
4.544,0,0,0,0,0,0,0,0,0,0,0,0,0
4.545,0,0,0,0,0,0,0,0,0,0,0,0,0
4.546,0,0,0,0,0,0,0,0,0,0,0,0,0
4.547,0,0,0,0,0,0,0,0,0,0,0,0,0
4.548,0,0,0,0,0,0,0,0,0,0,0,0,0
4.549,0,0,0,0,0,0,0,0,0,0,0,0,0
4.55,0,0,0,0,0,0,0,0,0,0,0,0,0
4.551,0,0,0,0,0,0,0,0,0,0,0,0,0
4.552,0,0,0,0,0,0,0,0,0,0,0,0,0
4.553,0,0,0,0,0,0,0,0,0,0,0,0,0
4.554,0,0,0,0,0,0,0,0,0,0,0,0,0
4.555,0,0,0,0,0,0,0,0,0,0,0,0,0
4.556,0,0,0,0,0,0,0,0,0,0,0,0,0
4.557,0,0,0,0,0,0,0,0,0,0,0,0,0
4.558,0,0,0,0,0,0,0,0,0,0,0,0,0
4.559,0,0,0,0,0,0,0,0,0,0,0,0,0
4.56,0,0,0,0,0,0,0,0,0,0,0,0,0
4.561,0,0,0,0,0,0,0,0,0,0,0,0,0
4.562,0,0,0,0,0,0,0,0,0,0,0,0,0
